中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
158.101.206.253,443,2a0b:21c0:1007:1ca:0:1cba:e1c8:345b,DE,Frankfurt,隧道,134 ms,176 Mbps,22528 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,256 ms,33 Mbps,4228 kB/s
8.219.205.6,443,8.219.142.198,SG,Singapore,隧道,254 ms,38 Mbps,4912 kB/s
8.219.112.221,443,8.222.236.107,SG,Singapore,隧道,232 ms,67 Mbps,8668 kB/s
8.213.237.199,443,8.213.237.199,TH,Bangkok,中转,248 ms,62 Mbps,7994 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,124 ms,48 Mbps,6193 kB/s
141.148.245.183,443,2606:f240:f00:5a42:0:f2c3:8744:d494,US,Frankfurt,隧道,126 ms,180 Mbps,23142 kB/s
141.148.239.240,443,2a0b:21c0:1007:cb:0:ea41:a31b:2090,DE,Frankfurt,隧道,126 ms,204 Mbps,26214 kB/s
144.24.162.187,443,2a0b:21c0:1007:1ca:0:9a7a:f3df:aae4,DE,Frankfurt,隧道,151 ms,186 Mbps,23859 kB/s
8.219.218.228,443,8.222.222.65,SG,Singapore,隧道,217 ms,66 Mbps,8522 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,229 ms,64 Mbps,8218 kB/s
138.3.211.52,443,128.14.104.155,SG,Singapore,隧道,268 ms,54 Mbps,6991 kB/s
8.219.203.249,443,47.236.58.234,SG,Singapore,隧道,221 ms,72 Mbps,9243 kB/s
138.2.107.107,443,138.2.107.107,SG,Singapore,中转,252 ms,32 Mbps,4138 kB/s
150.230.196.248,443,150.230.196.248,JP,Tokyo,中转,272 ms,34 Mbps,4474 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,112 ms,50 Mbps,6421 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,147 ms,47 Mbps,6101 kB/s
8.219.204.245,443,8.219.96.61,SG,Singapore,隧道,242 ms,72 Mbps,9269 kB/s
8.219.239.22,443,8.219.96.61,SG,Singapore,隧道,238 ms,59 Mbps,7587 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,178 ms,97 Mbps,12492 kB/s
155.248.181.189,443,155.248.181.189,JP,Tokyo,中转,258 ms,36 Mbps,4649 kB/s
8.219.191.32,443,8.222.220.238,SG,Singapore,隧道,228 ms,50 Mbps,6509 kB/s
8.219.173.248,443,8.219.142.198,SG,Singapore,隧道,245 ms,29 Mbps,3733 kB/s
8.222.130.116,443,47.236.1.53,SG,Singapore,隧道,241 ms,64 Mbps,8304 kB/s
8.219.241.94,443,8.222.220.238,SG,Singapore,隧道,221 ms,61 Mbps,7907 kB/s
158.180.82.186,443,158.180.82.186,KR,Los Angeles,中转,177 ms,100 Mbps,12800 kB/s
158.178.238.239,443,104.28.222.43,SG,Singapore,隧道,280 ms,25 Mbps,3313 kB/s
8.219.184.158,443,8.222.210.246,SG,Singapore,隧道,274 ms,14 Mbps,1907 kB/s
47.57.14.118,443,47.254.95.194,US,San Jose,隧道,247 ms,0 Mbps,14 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,211 ms,1 Mbps,128 kB/s
