中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.154.59.99,443.0,129.154.59.99,KR,Seoul,中转,168 ms,37 Mbps,4817 kB/s,4817.0
140.238.55.89,443.0,140.238.55.89,JP,Tokyo,中转,260 ms,36 Mbps,4694 kB/s,4694.0
152.70.49.115,443.0,152.70.49.115,NL,Amsterdam,中转,101 ms,36 Mbps,4675 kB/s,4675.0
129.213.136.180,443.0,129.213.136.180,US,Ashburn,中转,31 ms,35 Mbps,4554 kB/s,4554.0
140.238.23.148,443.0,2a09:bac1:3f00:90::299:53,KR,Seoul,隧道,193 ms,34 Mbps,4471 kB/s,4471.0
146.56.46.84,443.0,2603:c022:8007:a810::dcba,KR,Seoul,隧道,196 ms,34 Mbps,4468 kB/s,4468.0
152.70.232.151,443.0,152.70.232.151,KR,Seoul,中转,190 ms,33 Mbps,4348 kB/s,4348.0
192.9.158.188,443.0,104.28.201.73,US,San Jose,隧道,53 ms,33 Mbps,4319 kB/s,4319.0
141.148.187.195,443.0,141.148.187.195,US,Los Angeles,中转,97 ms,32 Mbps,4208 kB/s,4208.0
47.88.15.127,443.0,47.88.15.127,US,San Jose,中转,93 ms,32 Mbps,4178 kB/s,4178.0
141.147.147.180,443.0,141.147.147.180,JP,Osaka,中转,199 ms,32 Mbps,4177 kB/s,4177.0
152.69.194.203,443.0,152.69.194.203,JP,Osaka,中转,244 ms,31 Mbps,4052 kB/s,4052.0
130.162.144.191,443.0,2a09:bac5:4751:1a14::299:3e,KR,Seoul,隧道,194 ms,31 Mbps,3995 kB/s,3995.0
140.238.158.238,443.0,140.238.158.238,CA,Toronto,中转,16 ms,30 Mbps,3906 kB/s,3906.0
150.230.196.248,443.0,150.230.196.248,JP,Tokyo,中转,255 ms,29 Mbps,3735 kB/s,3735.0
168.138.209.31,443.0,104.28.206.182,JP,Tokyo,隧道,250 ms,29 Mbps,3732 kB/s,3732.0
129.151.254.48,443.0,129.151.254.48,FR,Marseille,中转,108 ms,28 Mbps,3598 kB/s,3598.0
129.154.46.115,443.0,104.28.201.82,IN,Hyderabad,隧道,231 ms,28 Mbps,3584 kB/s,3584.0
168.138.165.174,443.0,168.138.165.174,SG,Singapore,中转,453 ms,27 Mbps,3495 kB/s,3495.0
146.56.101.141,443.0,146.56.101.141,KR,Seoul,中转,170 ms,20 Mbps,2571 kB/s,2571.0
64.110.108.118,443.0,64.110.108.118,JP,Osaka,中转,279 ms,19 Mbps,2503 kB/s,2503.0
131.186.17.132,443.0,131.186.17.132,KR,Seoul,中转,193 ms,18 Mbps,2430 kB/s,2430.0
152.69.222.9,443.0,152.69.222.9,SG,Singapore,中转,212 ms,18 Mbps,2403 kB/s,2403.0
47.89.151.17,443.0,47.89.151.17,US,Ashburn,中转,18 ms,16 Mbps,2175 kB/s,2175.0
129.159.130.38,443.0,129.159.130.38,IL,Paris,中转,164 ms,15 Mbps,1977 kB/s,1977.0
158.178.238.239,443.0,158.178.238.239,SG,Singapore,中转,295 ms,13 Mbps,1704 kB/s,1704.0
129.151.148.35,443.0,2a09:bac5:16:25a::3c:11,AE,Dubai,隧道,209 ms,11 Mbps,1436 kB/s,1436.0
140.238.18.74,443.0,140.238.18.74,KR,Seoul,中转,197 ms,8 Mbps,1033 kB/s,1033.0
47.89.244.253,443.0,47.89.244.253,US,San Jose,中转,53 ms,8 Mbps,1024 kB/s,1024.0
47.90.141.204,443.0,91.149.239.252,US,Los Angeles,隧道,17 ms,7 Mbps,917 kB/s,917.0
64.110.104.30,443.0,64.110.104.30,JP,Osaka,中转,211 ms,6 Mbps,805 kB/s,805.0
150.230.102.132,443.0,150.230.102.132,JP,Tokyo,中转,252 ms,5 Mbps,693 kB/s,693.0
144.24.90.107,443.0,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,174 ms,2 Mbps,345 kB/s,345.0
54.169.229.188,443.0,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,207 ms,2 Mbps,337 kB/s,337.0
47.254.65.110,443.0,47.254.65.110,US,San Jose,中转,57 ms,1 Mbps,183 kB/s,183.0
8.220.213.202,443.0,8.220.213.202,KR,Seoul,中转,168 ms,1 Mbps,181 kB/s,181.0
47.91.18.127,443.0,47.91.18.127,JP,Tokyo,中转,146 ms,1 Mbps,152 kB/s,152.0
144.24.200.164,443.0,144.24.200.164,FR,Marseille,中转,104 ms,0 Mbps,71 kB/s,71.0
149.129.8.215,443.0,47.88.8.186,US,San Jose,隧道,198 ms,0 Mbps,64 kB/s,64.0
152.70.90.168,443.0,2603:c022:8004:1505::5,KR,Seoul,隧道,194 ms,0 Mbps,24 kB/s,24.0
47.57.245.232,443.0,47.88.7.145,US,San Jose,隧道,217 ms,0 Mbps,15 kB/s,15.0
47.57.14.118,443.0,198.11.178.111,US,San Jose,隧道,215 ms,0 Mbps,12 kB/s,12.0
130.61.23.77,443.0,130.61.23.77,122 Mbps,15667 kB/s,,,,,
130.61.23.77,,,隧道,0 ms,null Mbps,null kB/s,,,
